Info;Number;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22
HpMdotRat[kgs];0;0.294632903;0.262780698;0.05574136;0.207039337;0.318522058;0.541487498;0.103519669;0.103519669;0.183150183;0.063704412;0.199076286;0.11148272;0.127408823;0.215002389;0.326485109;0.971492276;0.22296544;0.692785475;0.230928492;0.230928492;0.230928492;0.406115624
HpTrMin[Cdeg];1;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
HpTrMax[Cdeg];2;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40
BlockArea[m2];3;4576;4054;919;3258;4889;8405;1613;1613;2831;1031;3138;1718;1931;3340;5021;15060;3466;10699;3632;3560;3560;6241.5
InternalGains[W];4;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains2.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt;AddFiles\InternalGains1.txt
Dhw[W];5;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt;AddFiles\Dhw.txt
Weather[Cdeg];6;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt;AddFiles\Weather_Stockholm2018.txt
EGridLoadName;7;Load_X;Load_Y;Load_Y2;Load_V;Load_Z,Load_R;Load_U;Load_Q;Load_Q2;Load_S;Load_S2;Load_DD;Load_P;Load_O;Load_N;Load_M;Load_I,Load_BB;Load_H,Load_F;Load_G;Load_E,Load_C;Load_B;Load_A;Load_AA
Tes_QstoredMAX[kWh];8;54.23996727;48.05262835;10.89303539;38.61752915;57.95;99.62563919;19.11911434;19.11911434;33.55623849;12.22058703;37.19515238;20.36369401;22.88841276;39.5894866;59.51461444;178.5082839;41.0829822;126.8167417;43.0506034;42.19717734;42.19717734;73.98137145
TES_QstoredMIN[kWh];9;1.00473512;0.879085703;0.223317652;0.732501534;1.05;1.843454694;0.356269176;0.356269176;0.616117816;0.243188791;0.707639599;0.371773369;0.404653303;0.73365719;1.082348128;3.295172837;0.762262221;2.324565351;0.815821231;0.77090407;0.77090407;1.343756392
Room_FMUname;10;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom2.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu;MyRoom1.fmu
HpCapNom[kW];11;37;33;7;26;40;68;13;13;23;8;25;14;16;27;41;122;28;87;29;29;29;51
TES_m3;12;1.555;1.378;0.312;1.107;1.661;2.856;0.548;0.548;0.962;0.35;1.066;0.584;0.656;1.135;1.706;5.117;1.178;3.635;1.234;1.21;1.21;2.121
EbCapNom[kW];13;20;18;4;15;21;37;7;7;12;5;14;7;8;15;22;66;15;46;16;15;15;27
EGridLineName;14;LX6,Lslusn8,Lslusn9,Lslusn10;LY8,Lslusn8,Lslusn9,Lslusn10;LY8,Lslusn8,Lslusn9,Lslusn10;LV4,Lslusn8,Lslusn9,Lslusn10;LR4,Lfarvt13,Lfarvt12,Lfarvt16,LZ11,Lslusn8,Lslusn9,Lslusn10;LU 1,Lslusn8,Lslusn9,Lslusn10;LQ3,Lfarvt13,Lfarvt12,Lfarvt16;LQ3,Lfarvt13,Lfarvt12,Lfarvt16;LS 7,Lfarvt13,Lfarvt12,Lfarvt16;LS 7,Lfarvt13,Lfarvt12,Lfarvt16;LDD4;LP10,Lfarvt13,Lfarvt12,Lfarvt16;LO7,Llugne17,Llugne18,Llugne19;LN4,Llugne17,Llugne18,Llugne19;LM8,Llugne17,Llugne18,Llugne19;LI5,Llugnw24,Llugnw26,Llugnw27,Llugnw6,Llugnw7,LBB21;LH5,LF 4;LG2;LE7,Luddnw3,LC5;LB2,Luddnw3;LA1,Luddnw3;LAA20
